time,price,size,brs,title,link,location
2016-09-27 18:54:00,4100.0,,2.0,Furnished Townhouse in the Elmwood  Available March 8 2017,/eby/apa/5802541604.html,berkeley
2016-09-27 18:53:00,1090.0,400.0,1.0,Private/small studio ALL UTILITIES INCLUDED,/eby/apa/5802540177.html,berkeley
2016-09-27 17:29:00,3275.0,706.0,1.0,Luxury  Convenience all at Parker Movein special Hurry in,/eby/apa/5802443907.html,berkeley
2016-09-27 17:29:00,4150.0,958.0,2.0,New luxury 2BR in Downtown Berkeley  1500 off 1st months rent,/eby/apa/5802443556.html,berkeley
2016-09-27 17:25:00,2491.0,735.0,1.0,One Bedroom Ready For You 500 off Move In Cost,/eby/apa/5802429182.html,berkeley
2016-09-27 17:25:00,2825.0,716.0,1.0,Ready Now for Immediate Movein,/eby/apa/5802414465.html,berkeley
2016-09-27 17:14:00,2825.0,716.0,1.0,Super Sharp 1 bed/1 bath Rooftop Lounge Panoramic,/eby/apa/5797264384.html,berkeley
2016-09-27 17:13:00,2925.0,787.0,1.0,Large 1 bedroom with Den  in beautiful LEEDCertified Green Bldg,/eby/apa/5768826232.html,berkeley
2016-09-27 17:09:00,3600.0,800.0,2.0,Elmwood District,/eby/apa/5790616090.html,berkeley
2016-09-27 16:44:00,1800.0,550.0,1.0,Near downtown Berkeley Studio,/eby/apa/5797615711.html,berkeley
2016-09-27 16:33:00,1995.0,650.0,2.0,Advent Recently remodeled upper floor apartment with onsite laundry,/eby/apa/5802371349.html,berkeley
2016-09-27 16:32:00,4500.0,1260.0,2.0,Gorgeous New Home with Two Fireplaces  Price Negotiable,/eby/apa/5802369551.html,berkeley
2016-09-27 16:21:00,2800.0,960.0,1.0,Really comfortable  cute furnished apartment. Gustavo Lopez  AMSI,/eby/apa/5781695435.html,berkeley
2016-09-27 16:14:00,3325.0,864.0,1.0,ONE BEDROOM ONE BATH  STEPS FROM BART,/eby/apa/5802344712.html,berkeley
2016-09-27 16:07:00,3800.0,737.0,2.0,GREAT SCHOOLS  SAFE AREA ,/eby/apa/5802334528.html,berkeley
2016-09-27 15:57:00,1850.0,560.0,1.0,1bed nice area close to UC Berkeley bart station,/eby/apa/5802319826.html,berkeley
2016-09-27 15:46:00,700.0,,1.0,Is this the greatest sublet near campus on the market Somewhat likely,/eby/apa/5796027142.html,berkeley
2016-09-27 15:34:00,2100.0,620.0,2.0,2 Bedroom apartment in West Berkeley,/eby/apa/5802287118.html,berkeley
2016-09-27 15:24:00,1250.0,100.0,1.0,1250,/eby/apa/5802272781.html,berkeley
2016-09-27 15:15:00,3800.0,,2.0,2ND FL 2/1 REMODELED BRIGHT QUIET NOPARKING SPACE 1 BLOCK TO UCB,/eby/apa/5781533282.html,berkeley
2016-09-27 15:15:00,3194.0,755.0,2.0,Spacious 2 Bedroom in Fine Arts....Coming Soon,/eby/apa/5802258273.html,berkeley
2016-09-27 15:14:00,1800.0,,1.0,Sunny spacious apartment in fantastic location,/eby/apa/5802168698.html,berkeley
2016-09-27 14:41:00,4795.0,,4.0,20192021 Haste St  2021,/eby/apa/5778595990.html,berkeley
2016-09-27 14:09:00,1750.0,,1.0,Beautiful Fully Furnished Au Pair in Berkeley Hills,/eby/apa/5783423423.html,berkeley
2016-09-27 14:08:00,2800.0,,2.0,Spacious 2 Bed 1 Ba in Berkeley w/ Hardwood Floors,/eby/apa/5789242336.html,berkeley
2016-09-27 14:07:00,2795.0,,1.0,1 plus br  UNIQUE  BEAUTIFUL 1800 ft. GARDEN APARTMENT,/eby/apa/5802140674.html,berkeley
2016-09-27 14:05:00,2650.0,,2.0,LARGE/SUNNY TOP floor CLOSE to EVERYTHING,/eby/apa/5777900475.html,berkeley
2016-09-27 13:37:00,5195.0,2244.0,3.0,Beautiful Unique Home in the Berkeley Hills,/eby/apa/5791363211.html,berkeley
2016-09-27 13:28:00,3753.0,786.0,2.0, Want to live in North Berkeley Come apply today,/eby/apa/5802079737.html,berkeley
2016-09-27 13:26:00,3199.0,,3.0,GORGEOUS BUNGALOW   RIGHT OVER BKLY BORDER  MUST SEE ,/eby/apa/5802076261.html,berkeley
2016-09-27 13:21:00,3870.0,789.0,2.0,CLOSE TO BART GREAT AREA,/eby/apa/5802066675.html,berkeley
2016-09-27 13:20:00,3100.0,,3.0,3 bedroom/1.5 bath with garden in the back yard,/eby/apa/5802047699.html,berkeley
2016-09-27 13:03:00,2745.0,,1.0,South Berkeley apartmentAvail 10/1/16. Furnished. Close to UCB  BART,/eby/apa/5802021093.html,berkeley
2016-09-27 13:01:00,2345.0,,1.0,GREAT North Berkeley 2 plex Blocks to Bart/UCB/Shopping.Garage.Garden.,/eby/apa/5802021604.html,berkeley
2016-09-27 13:01:00,1785.0,,1.0,College Ave apartment. In unit laundry. Parking. One cat OK.,/eby/apa/5802017584.html,berkeley
2016-09-27 12:57:00,4175.0,840.0,2.0,SPECIAL ONE MONTH FREE RENT FURNISHED TWO BEDROOM,/eby/apa/5802022049.html,berkeley
2016-09-27 12:40:00,2150.0,790.0,2.0,Large 2 bedroom/1 bath,/eby/apa/5801991471.html,berkeley
2016-09-27 12:32:00,2835.0,851.0,1.0,Large 5th floor Apartment Home W/ Amazing Bay View,/eby/apa/5801976452.html,berkeley
2016-09-27 12:27:00,2195.0,550.0,1.0,DOWNTOWN BERKELEY APARTMENT,/eby/apa/5801966967.html,berkeley
2016-09-27 12:26:00,2825.0,868.0,1.0,In home Laundry Bike score 99 Welcome Home,/eby/apa/5789197974.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,Higby Apartments Brand new Platinum L.E.E.D Certified  Building,/eby/apa/5789207868.html,berkeley
2016-09-27 12:26:00,2900.0,709.0,1.0,Home is where the heart is. Live Higby. Welcome Home.,/eby/apa/5780214256.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,In home Laundry Bike score 99 Welcome Home,/eby/apa/5780219300.html,berkeley
2016-09-27 12:26:00,2825.0,868.0,1.0,1 bedroom w/ full size washer  dryer Steps away from Berkeley bowl,/eby/apa/5780217295.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,Spacious 1 bed 1 bath w/ Den Lease Today Come Look and Lease,/eby/apa/5775875621.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,Spacious 1 bed 1 bath w/ Den Lease Today Come Look and Lease,/eby/apa/5774540885.html,berkeley
2016-09-27 12:26:00,2825.0,716.0,1.0,1 bed 1 bath fully Equipped w/ Full Size Washer  Dryer,/eby/apa/5775894029.html,berkeley
2016-09-27 12:26:00,2825.0,716.0,1.0,In home Laundry Bike score 99 Welcome Home,/eby/apa/5773999950.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,1 bed 1 bath with den equipped with major applicanes,/eby/apa/5774008799.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,Spacious 1 bed 1 bath w/ den  full size washer  dryer,/eby/apa/5775895879.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,Live Higby. Welcome Home.,/eby/apa/5786103707.html,berkeley
2016-09-27 12:26:00,2825.0,868.0,1.0,Live Higby. 1 bed 1 bath w/ walk in closet,/eby/apa/5794040295.html,berkeley
2016-09-27 12:26:00,2900.0,709.0,1.0,1 bed 1 bath w/ balcony New Platinum L.E.E.D Certified  Building,/eby/apa/5795549755.html,berkeley
2016-09-27 12:26:00,2900.0,709.0,1.0,1 bed 1 bath with balcony Facing Peaceful Berkeley Hills,/eby/apa/5795554325.html,berkeley
2016-09-27 12:26:00,2900.0,709.0,1.0,Energy Efficent Appliances with Full Size washer  dryer in Every unit,/eby/apa/5795551019.html,berkeley
2016-09-27 12:26:00,2825.0,868.0,1.0,1 bed 1 bath w/ walk in closet Higby Apartments,/eby/apa/5795560306.html,berkeley
2016-09-27 12:26:00,2825.0,716.0,1.0,Energy Efficent Appliances with Full Size washer  dryer in Every unit,/eby/apa/5790999605.html,berkeley
2016-09-27 12:26:00,2900.0,709.0,1.0,1 bed 1 bath w/ balcony Higby. Creative. Cultured. Welcome Home.,/eby/apa/5795551729.html,berkeley
2016-09-27 12:26:00,2925.0,787.0,1.0,Lovely 1 bed 1 bath w/ Den with amazing views  natural lighting,/eby/apa/5790992619.html,berkeley
2016-09-27 12:26:00,2900.0,709.0,1.0,1 bed 1 bath w/ balcony New Platinum L.E.E.D Certified  Building,/eby/apa/5795750500.html,berkeley
2016-09-27 12:26:00,2495.0,750.0,2.0,TOP FLOOR 2X1 Short Walk TO UC Campus Available ASAP,/eby/apa/5801964803.html,berkeley
2016-09-27 12:20:00,2095.0,500.0,1.0,Open House Renovated One Bedroom Garden Style complex  Pets OK,/eby/apa/5795963936.html,berkeley
2016-09-27 12:12:00,2900.0,709.0,1.0,Upscale 1 Bedroom with Balcony,/eby/apa/5797384773.html,berkeley
2016-09-27 12:12:00,2825.0,787.0,1.0,Lrg 1x1 in beautiful LEEDCertified Green Bldg Pet Friendly,/eby/apa/5797270073.html,berkeley
