week,python,r
2011-10-30,4,4
2011-11-06,4,4
2011-11-13,4,7
2011-11-20,0,4
2011-11-27,0,3
2011-12-04,0,7
2011-12-11,0,3
2011-12-18,0,7
2011-12-25,0,4
2012-01-01,4,4
2012-01-08,3,5
2012-01-15,3,6
2012-01-22,5,7
2012-01-29,3,3
2012-02-05,3,3
2012-02-12,3,3
2012-02-19,3,3
2012-02-26,3,3
2012-03-04,3,3
2012-03-11,6,5
2012-03-18,10,5
2012-03-25,3,3
2012-04-01,4,5
2012-04-08,3,6
2012-04-15,6,5
2012-04-22,3,7
2012-04-29,3,5
2012-05-06,3,3
2012-05-13,3,3
2012-05-20,3,6
2012-05-27,3,6
2012-06-03,3,4
2012-06-10,3,3
2012-06-17,3,10
2012-06-24,3,3
2012-07-01,3,6
2012-07-08,5,8
2012-07-15,6,4
2012-07-22,3,6
2012-07-29,6,3
2012-08-05,3,6
2012-08-12,3,10
2012-08-19,5,4
2012-08-26,6,3
2012-09-02,6,3
2012-09-09,5,5
2012-09-16,6,3
2012-09-23,6,3
2012-09-30,3,3
2012-10-07,3,7
2012-10-14,3,4
2012-10-21,4,6
2012-10-28,3,6
2012-11-04,6,6
2012-11-11,3,7
2012-11-18,3,6
2012-11-25,4,4
2012-12-02,3,6
2012-12-09,3,8
2012-12-16,3,9
2012-12-23,3,6
2012-12-30,6,3
2013-01-06,5,4
2013-01-13,3,3
2013-01-20,5,5
2013-01-27,3,8
2013-02-03,3,4
2013-02-10,3,4
2013-02-17,4,8
2013-02-24,5,11
2013-03-03,3,7
2013-03-10,5,5
2013-03-17,3,5
2013-03-24,4,7
2013-03-31,8,10
2013-04-07,3,8
2013-04-14,4,7
2013-04-21,6,5
2013-04-28,3,9
2013-05-05,14,4
2013-05-12,8,4
2013-05-19,4,9
2013-05-26,4,11
2013-06-02,5,9
2013-06-09,9,8
2013-06-16,9,5
2013-06-23,12,9
2013-06-30,11,7
2013-07-07,5,5
2013-07-14,8,4
2013-07-21,6,5
2013-07-28,6,12
2013-08-04,4,8
2013-08-11,5,8
2013-08-18,5,6
2013-08-25,4,8
2013-09-01,5,7
2013-09-08,6,11
2013-09-15,5,8
2013-09-22,5,7
2013-09-29,8,4
2013-10-06,7,6
2013-10-13,4,7
2013-10-20,6,9
2013-10-27,6,8
2013-11-03,8,4
2013-11-10,6,11
2013-11-17,8,8
2013-11-24,9,9
2013-12-01,8,10
2013-12-08,6,10
2013-12-15,10,8
2013-12-22,8,7
2013-12-29,9,10
2014-01-05,8,6
2014-01-12,10,14
2014-01-19,12,13
2014-01-26,10,17
2014-02-02,8,11
2014-02-09,14,17
2014-02-16,9,14
2014-02-23,11,12
2014-03-02,16,8
2014-03-09,10,12
2014-03-16,13,11
2014-03-23,10,15
2014-03-30,5,18
2014-04-06,10,27
2014-04-13,5,18
2014-04-20,14,24
2014-04-27,14,14
