,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
1,Alabama A & M University,AL,1405,400,410,823,7079,9063,7182,12774,1,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0,0.0002,0.0084,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6314,0.8204,0.2914,35300,31400,0.8856
2,University of Alabama at Birmingham,AL,1354,585,580,1146,10170,9033,7206,16398,1,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8016,0.5397,0.5377,46300,40300,0.9106
4,University of Alabama in Huntsville,AL,1213,580,575,1180,9341,8322,9192,21506,1,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,0.488624612,0.132368149,0.140124095,0.131851086,0.107032058,0.8098,0.4728,0.4835,52700,46600,0.6555
5,Alabama State University,AL,383,425,430,830,6557,7813,8720,15656,1,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,0.688963211,0.159141583,0.077201784,0.047658863,0.02703456,0.6219,0.8735,0.2517,30700,27800,0.6641
6,The University of Alabama,AL,499,570,555,1171,9605,12198,9450,23950,1,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,0.302561681,0.133396293,0.146263723,0.150749616,0.267028686,0.87,0.4148,0.6665,49100,42400,0.7109
10,Auburn University,AL,1264,595,570,1215,9429,13186,9852,26364,1,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,0,0.0074,0.0127,0.27736704,0.118769378,0.144765085,0.163367517,0.29573098,0.8946,0.361,0.6792,52100,45400,0.878
11,Birmingham Southern College,AL,712,580,575,1177,7513,11928,30690,30690,2,1181,0.8103,0.094,0.0305,0.039,0.0102,0,0.0076,0,0.0085,0.227488152,0.130331754,0.161137441,0.191943128,0.289099526,0.8037,0.4939,0.6192,45300,41900,0.6479
24,Huntingdon College,AL,673,480,460,999,6027,9074,23500,23500,2,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1564,0.401098901,0.168956044,0.153846154,0.130494506,0.145604396,0.6196,0.7227,0.4319,40300,37100,0.4083
27,Jacksonville State University,AL,1280,480,485,1036,6857,6192,7092,13884,1,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0,0.0221,0.0246,0.470516717,0.172948328,0.160486322,0.122492401,0.073556231,0.7112,0.6811,0.3083,36600,35100,0.6516
31,Judson College,AL,1014,550,595,1023,5638,7626,15630,15630,2,331,0.7915,0.145,0.0151,0.0091,0.003,0,0.006,0.0091,0.0211,0.492537313,0.189054726,0.184079602,PrivacySuppressed,PrivacySuppressed,0.5974,0.711,0.4051,33800,30700,1
37,University of Mobile,AL,923,575,540,1058,5024,10339,18690,18690,2,1472,0.6461,0.216,0.0122,0.0095,0.0163,0.0007,0.017,0.0306,0.0516,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7727,0.8009,0.4904,40900,37800,1
38,University of Montevallo,AL,1362,508,554,1070,7035,7161,10000,19690,1,2610,0.7368,0.1398,0.023,0.0065,0.0069,0.0011,0.018,0.0134,0.0544,0.415029889,0.145175064,0.175064048,0.148590948,0.116140051,0.7365,0.5872,0.4493,36300,35100,0.5951
40,University of North Alabama,AL,1218,482,489,1028,7152,6530,7078,12670,1,5536,0.715,0.1384,0.0246,0.0038,0.0112,0.0011,0.0208,0.0495,0.0358,0.438271605,0.177777778,0.163374486,0.130452675,0.090123457,0.7079,0.6883,0.3216,39500,36300,0.9882
42,Oakwood University,AL,141,455,462,924,5307,11909,16234,16234,2,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,0,0.082,0.0291,0.438325991,0.174008811,0.162995595,0.124449339,0.100220264,0.7876,0.7411,0.3632,38800,33700,1
47,Samford University,AL,1122,560,565,1153,8261,17548,26328,26328,2,2995,0.8114,0.0664,0.0664,0.008,0.003,0.0007,0.01,0.0304,0.0037,0.238329238,0.108108108,0.167076167,0.16953317,0.316953317,0.8673,0.3653,0.692,57900,45800,0.9939
51,University of South Alabama,AL,1340,500,495,1064,7212,6914,6948,13596,1,11048,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.0137,0.477874396,0.161352657,0.141449275,0.121932367,0.097391304,0.6787,0.5549,0.3342,45200,38300,0.6418
52,Spring Hill College,AL,288,540,540,1100,6057,10653,30924,30924,2,1269,0.6643,0.1608,0.0875,0.0071,0.0063,0,0.0236,0.0134,0.037,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7559,0.6564,0.5632,50000,43800,0.597
54,Stillman College,AL,235,411,400,882,4743,10367,15901,15901,2,863,0.0626,0.9224,0.0104,0.0023,0,0,0,0,0.0023,0.706689537,0.137221269,0.066895369,0.05831904,0.030874786,0.6123,0.8145,0.2619,27900,24700,1
63,Tuskegee University,AL,147,460,455,937,6679,14071,18900,18900,2,2584,0.0019,0.7752,0.0019,0.0008,0.0004,0,0,0.0031,0.2167,0.49348659,0.182375479,0.1348659,0.100383142,0.088888889,0.7242,0.7374,0.4384,42500,37100,0.9685
70,Alaska Pacific University,AK,174,480,520,1008,5137,13615,29810,29810,2,340,0.5441,0.0294,0.0353,0.0176,0.1706,0.0059,0.0971,0,0.1,0.405405405,0.155405405,0.182432432,0.121621622,0.135135135,0.6667,0.4587,0.3902,49300,47400,1
90,Arizona State University-Tempe,AZ,1097,585,560,1108,10405,11705,9861,23654,1,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0066,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.844,0.4784,0.5947,52400,45200,0.8787
92,University of Arizona,AZ,1120,565,542,1106,10320,12051,10391,27383,1,31399,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.0104,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8148,0.3962,0.6139,53100,44400,0.7478
104,Embry-Riddle Aeronautical University-Prescott,AZ,1150,595,565,1126,8387,35302,31034,31034,2,1802,0.6016,0.0172,0.0755,0.0494,0.0055,0.0061,0.076,0.0855,0.0832,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.828,0.5596,0.5915,65500,60900,0.7018
118,Northern Arizona University,AZ,1426,525,525,1050,7863,6697,9738,22093,1,22011,0.628,0.0325,0.1925,0.016,0.031,0.0034,0.0478,0.0424,0.0063,0.406508549,0.178433536,0.148924435,0.119323405,0.146810075,0.7178,0.5571,0.4924,43200,38800,0.6172
127,Prescott College,AZ,990,510,560,1094,4248,14975,29732,29732,2,540,0.7296,0.0148,0.0574,0.0111,0.0204,0,0.0389,0.0111,0.1167,0.567765568,0.124542125,0.128205128,0.073260073,0.106227106,0.7344,0.6478,0.3768,35800,35200,0.6932
134,Arizona Christian University,AZ,627,528,510,1045,4617,10013,21832,21832,2,491,0.5906,0.0509,0.1426,0.0143,0.0081,0.002,0.0346,0.0244,0.1324,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6809,0.5183,0.4737,30700,31000,0.2051
140,University of Arkansas at Little Rock,AR,415,445,420,1077,7480,6265,7094,16871,1,8504,0.5514,0.2656,0.0623,0.023,0.0033,0.0004,0.0642,0.0293,0.0005,0.588049551,0.150595094,0.131649259,0.081612825,0.048093272,0.6973,0.4818,0.2438,38200,34800,1
146,Lyon College,AR,573,575,535,1142,6354,9863,23594,23594,2,570,0.7737,0.0421,0.0509,0.0123,0.0193,0,0,0.0298,0.0719,0.380952381,0.171428571,0.177777778,0.155555556,0.114285714,0.6981,0.6867,0.4965,41200,37200,0.7069
